職場の様子,休日休暇(月曜日),（派遣先）配属先部署　男女比　男,大手企業,交通費別途支給,（派遣先）配属先部署　人数,残業月20時間以上,職種コード,1日7時間以下勤務OK,短時間勤務OK(1日4h以内),学校・公的機関（官公庁）,土日祝のみ勤務,Wordのスキルを活かす,勤務地　最寄駅1（分）,お仕事No.,派遣スタッフ活躍中,大量募集,Accessのスキルを活かす,休日休暇(火曜日),平日休みあり,フラグオプション選択,期間・時間　勤務期間,派遣形態,週2・3日OK,勤務先公開,Excelのスキルを活かす,16時前退社OK,正社員登用あり,残業月20時間未満,英語力不要,休日休暇(日曜日),社員食堂あり,10時以降出社OK,英語以外の語学力を活かす,休日休暇(祝日),外資系企業,服装自由,PowerPointのスキルを活かす,休日休暇(土曜日),休日休暇(木曜日),（派遣先）配属先部署　平均年齢,英語力を活かす,会社概要　業界コード,勤務地　都道府県コード,PCスキル不要,制服あり,休日休暇(水曜日),仕事の仕方,勤務地　最寄駅1（駅からの交通手段）,紹介予定派遣,シフト勤務,経験者優遇,週4日勤務,未経験OK,土日祝休み,給与/交通費　交通費,休日休暇(金曜日),扶養控除内,給与/交通費　給与下限,オフィスが禁煙・分煙,勤務地　市区町村コード,残業なし
3,0,6,0,0,12,0,22010,1,0,1,0,1,3,2203566799,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,45,0,30000,13,0,0,0,2,1,0,0,1,0,1,1,3,0,0,1550,1,121,1
3,0,2,1,0,33,0,20020,1,0,0,0,1,1,2203546900,1,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,45,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
3,0,2,1,0,33,0,20020,1,0,0,0,1,1,2203546900,1,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,45,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
2,0,8,0,0,5,1,20020,0,0,1,0,1,6,2203545344,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,42,0,30000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1650,1,102,0
2,0,8,0,0,5,1,20020,0,0,1,0,1,6,2203545344,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,42,0,30000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1650,1,102,0
3,0,8,1,0,22,0,20610,0,0,0,0,1,7,2203569493,1,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,42,0,22000,13,0,0,0,4,1,1,0,1,0,1,1,3,0,0,1600,1,101,1
3,0,6,0,0,9,0,22010,1,0,1,0,1,12,2203556553,1,0,0,0,0,3,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,46,0,30000,13,0,0,0,2,1,0,0,1,0,1,1,3,0,0,1600,1,112,1
3,0,5,0,0,6,0,22010,1,0,1,0,1,5,2203563008,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,40,0,30000,13,0,0,0,3,1,0,0,1,0,1,1,3,0,0,1700,1,121,1
3,0,6,0,0,17,0,20020,0,0,1,0,1,1,2203526826,1,0,0,0,0,3,5,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,43,0,30000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1600,1,107,1
3,0,6,0,0,17,0,20020,0,0,1,0,1,1,2203526826,1,0,0,0,0,3,5,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,43,0,30000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1600,1,107,1
3,0,3,1,0,17,0,22030,1,0,0,0,1,1,2203501746,1,0,1,0,0,3,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,40,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
3,0,3,1,0,17,0,22030,1,0,0,0,1,1,2203501746,1,0,1,0,0,3,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,40,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
3,0,8,0,0,6,0,20020,0,0,0,0,1,8,2203495958,1,0,0,0,0,1,5,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,48,0,29000,13,0,1,0,2,1,0,0,1,0,0,1,3,0,0,2000,1,115,0
3,0,8,0,0,6,0,20020,0,0,0,0,1,8,2203495958,1,0,0,0,0,1,5,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,48,0,29000,13,0,1,0,2,1,0,0,1,0,0,1,3,0,0,2000,1,115,0
3,0,3,1,1,22,0,20020,0,0,0,0,1,13,2203556957,1,0,0,0,0,1,5,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,49,0,22000,13,0,0,0,1,1,0,0,1,0,0,1,2,0,0,1850,1,101,0
3,0,10,0,0,13,0,22030,0,0,1,0,1,5,2203570180,1,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,40,0,30000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1500,1,101,1
3,0,7,0,0,4,0,20020,0,0,1,0,1,2,2203557199,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,50,0,30000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1780,1,106,1
3,0,2,0,0,9,1,22010,1,0,1,0,1,3,2203554555,1,0,1,0,0,3,5,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,40,0,30000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1500,1,105,0
3,0,6,1,0,7,0,20610,0,0,0,0,1,7,2203491945,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,38,0,21000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1700,1,113,1
3,0,6,1,0,7,0,20610,0,0,0,0,1,7,2203491945,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,38,0,21000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1700,1,113,1
3,0,3,0,0,30,0,20510,1,0,0,0,1,2,2203546898,1,0,1,0,0,3,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,35,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
3,0,3,0,0,30,0,20510,1,0,0,0,1,2,2203546898,1,0,1,0,0,3,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,35,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
3,0,5,0,0,4,0,20020,1,0,1,0,1,1,2203569942,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,41,1,30000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1700,1,101,1
3,0,5,0,0,6,0,22030,1,0,0,0,1,2,2203555445,1,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,56,0,28000,13,0,0,0,2,1,1,0,1,0,1,1,3,0,0,1600,1,104,0
3,0,1,0,0,9,0,20320,1,0,1,0,1,7,2203490372,1,0,0,0,0,3,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,45,1,30000,13,0,0,0,3,1,0,0,1,0,0,1,3,0,0,1850,1,103,1
3,0,1,0,0,9,0,20320,1,0,1,0,1,7,2203490372,1,0,0,0,0,3,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,45,1,30000,13,0,0,0,3,1,0,0,1,0,0,1,3,0,0,1850,1,103,1
3,0,2,1,1,6,0,20020,1,0,0,0,1,5,2203568251,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,42,0,29000,13,0,0,0,5,1,0,0,1,0,1,1,2,0,0,1550,1,121,1
3,0,3,0,1,7,0,20610,0,0,0,0,1,3,2203567768,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,38,0,27000,13,0,0,0,2,1,0,0,1,0,0,1,2,0,0,2100,1,101,1
